รหัสการสั่งซื้อ,สถานะการสั่งซื้อ,เลขที่คำสั่งซื้อ,เวลาที่สั่งซื้อ,เวลาที่สั่งซื้อสำเร็จ,เวลาคลิก,ชื่อร้านค้า,ID ร้านค้า,ประเภทของร้านค้า,รหัสรายการสินค้า,ชื่อรายการสินค้า,เลขที่ โมเดล,ประเภทสินค้า,เลขที่โปรโมชั่น,L1 หมวดหมู่สากล,L2 หมวดหมู่สากล,L3 หมวดหมู่สากล,ราคา(฿),จำนวน,ประเภทข้อเสนอ,พาร์ทเนอร์ในแคมเปญ,มูลค่าซื้อ(฿),จำนวนเงินคืน(฿),อัตราคอมมิชชั่นช้อปปี้ของสินค้า,ค่าคอมมิชชั่นของช้อปปี้ต่อชิ้น(฿),อัตราคอมมิชชั่นร้านค้าของสินค้า,ค่าคอมมิชชั่นของแบรนด์์ต่อชิ้น(฿),คอมมิชชั่นสินค้าโดยรวม(฿),คอมมิชชั่นคำสั่งซื้อจาก Shopee(฿),คอมมิชชั่นคำสั่งซื้อจากผู้ขาย(฿),คอมมิชชั่นคำสั่งซื้อโดยรวม(฿),ชื่อ MCN ที่ผูกไว้,รหัสสัญญา MCN,อัตราค่าบริการ MCN,ค่าบริการ MCN(฿),อัตราค่าคอมมิชชั่นของพาร์ทเนอร์ตามข้อตกลง,ค่าคอมมิชชั่นสุทธิ(฿),สถานะสินค้า Affiliate,หมายเหตุสินค้า,ประเภทการแจกจ่าย,สถานะของผู้ซื้อ,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,ช่องทาง
2509091ECR7Y9D,รอดำเนินการ,211049820205052,2025-09-08 23:57:00,,2025-09-08 20:25:37,rebuy.th,54592636,Preferred(CB),43704372679,"ซื้อซ้ํา ตู้ปลากลมโปร่งใส, ชามปลาใสพลาสติก, ของตกแต่งบ้าน แบบพกพาสร้างสรรค์แสงหรูหราสก์ท็อปชามตู้ปลาบ้าน",295371052012,Normal Product,0_365694634373245_1,สัตว์เลี้ยง,อุปกรณ์สำหรับสัตว์เลี้ยง,ตู้ปลาและอุปกรณ์เสริม,91.29268,1,คอมมิชชั่นจากร้านค้า,,74.29268,,1.75%,1.30012,7.00%,0,1.30012,2.76499,0,2.76499,,0,0.00%,0,100.00%,2.76499,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01PetKit0520,,Facebook
2509091ECR7Y9D,รอดำเนินการ,211049820205052,2025-09-08 23:57:00,,2025-09-08 20:25:37,rebuy.th,54592636,Preferred(CB),43704372679,"ซื้อซ้ํา ตู้ปลากลมโปร่งใส, ชามปลาใสพลาสติก, ของตกแต่งบ้าน แบบพกพาสร้างสรรค์แสงหรูหราสก์ท็อปชามตู้ปลาบ้าน",295371052011,Normal Product,0_365694634373245_1,สัตว์เลี้ยง,อุปกรณ์สำหรับสัตว์เลี้ยง,ตู้ปลาและอุปกรณ์เสริม,52.85365,2,คอมมิชชั่นจากร้านค้า,,83.70731,,1.75%,1.46487,7.00%,0,1.46487,0,0,0,,0,0.00%,0,100.00%,0,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01PetKit0520,,Facebook
2509091ECR7Y9B,สำเร็จ,211049820205052,2025-09-08 23:57:00,2025-09-11 11:07:21,2025-09-08 20:25:37,ร้านวสันต์ อุปกรณ์ปลาสวยงาม,258953801,Preferred(Non-CB),8234165760,ใยแก้ว ใยกรองน้ำตู้ปลา บ่อปลา ใยกรองละเอียด มี 3 ขนาดให้เลือก,25052302102,Normal Product,,สัตว์เลี้ยง,อุปกรณ์สำหรับสัตว์เลี้ยง,ตู้ปลาและอุปกรณ์เสริม,8,3,คอมมิชชั่นจากร้านค้า,,21,,1.75%,0.3675,2.00%,0,0.3675,0.91,0,0.91,,0,0.00%,0,100.00%,0.91,สำเร็จ,,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01PetKit0520,,Facebook
2509091ECR7Y9B,สำเร็จ,211049820205052,2025-09-08 23:57:00,2025-09-11 11:07:21,2025-09-08 20:25:37,ร้านวสันต์ อุปกรณ์ปลาสวยงาม,258953801,Preferred(Non-CB),8234165760,ใยแก้ว ใยกรองน้ำตู้ปลา บ่อปลา ใยกรองละเอียด มี 3 ขนาดให้เลือก,25052302101,Normal Product,,สัตว์เลี้ยง,อุปกรณ์สำหรับสัตว์เลี้ยง,ตู้ปลาและอุปกรณ์เสริม,19,2,คอมมิชชั่นจากร้านค้า,,31,,1.75%,0.5425,2.00%,0,0.5425,0,0,0,,0,0.00%,0,100.00%,0,สำเร็จ,,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01PetKit0520,,Facebook
2509091ECDT5NN,รอดำเนินการ,211049809261339,2025-09-08 23:56:50,,2025-09-08 18:47:30,japannsugoi,184454905,Preferred(Non-CB),4800506370,[พร้อมส่ง⚡️แท้] DHC Vitamin B-MIX 60วัน (120เม็ด) บำรุงร่างกาย ป้องกันเหน็บชา ลดสิว รอยแดง,32141164051,Normal Product,,กลุ่มผลิตภัณฑ์เพื่อสุขภาพ,อาหารเสริม,อาหารเสริมเพื่อสุขภาพ,149,1,คอมมิชชั่นจาก Shopee,,121,,1.50%,1.815,0.00%,0,1.815,6.435,0,6.435,,0,0.00%,0,100.00%,6.435,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01FahRain0805,,Facebook
2509091ECDT5NN,รอดำเนินการ,211049809261339,2025-09-08 23:56:50,,2025-09-08 18:47:30,japannsugoi,184454905,Preferred(Non-CB),7400562429,[พร้อมส่ง⚡️แท้] DHC Zinc สังกะสี 60วัน (60เม็ด) ลดสิว รักษาสุขภาพผิว ช่วยซ่อมแซมส่วนที่สึกหรอของร่างกาย,72141231763,Normal Product,,กลุ่มผลิตภัณฑ์เพื่อสุขภาพ,อาหารเสริม,อาหารเสริมเพื่อสุขภาพ,199,1,คอมมิชชั่นจาก Shopee,,158,,1.50%,2.37,0.00%,0,2.37,0,0,0,,0,0.00%,0,100.00%,0,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01FahRain0805,,Facebook
2509091ECDT5NN,รอดำเนินการ,211049809261339,2025-09-08 23:56:50,,2025-09-08 18:47:30,japannsugoi,184454905,Preferred(Non-CB),9554299145,[พร้อมส่ง⚡️แท้] DHC VITAMIN C 60วัน (120เม็ด) วิตามินซี มีส่วนช่วยให้ผิวขาวใส ป้องกันหวัด,110195066654,Normal Product,,กลุ่มผลิตภัณฑ์เพื่อสุขภาพ,อาหารเสริม,อาหารเสริมเพื่อสุขภาพ,189,1,คอมมิชชั่นจาก Shopee,,150,,1.50%,2.25,0.00%,0,2.25,0,0,0,,0,0.00%,0,100.00%,0,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01FahRain0805,,Facebook
2509091EC39GBV,รอดำเนินการ,211049798236478,2025-09-08 23:56:39,,2025-09-08 23:42:47,Terry Official Store,973865329,Shopee Mall(Non-CB),28117547513,Terry Moisture Blend Retinoid  Lip Balm SPF 50 PA++++ เธอร์รี่ ลิปบาล์ม ลิปบำลุงผิวปาก,195554613084,Normal Product,,ผลิตภัณฑ์บำรุงและเสริมความงาม,ผลิตภัณฑ์บำรุงบริเวณใบหน้า,ผลิตภัณฑ์บำรุงริมฝีปาก,199,1,คอมมิชชั่นจากร้านค้า,,160,,1.75%,2.8,7.00%,0,2.8,2.8,0,2.8,,0,0.00%,0,100.00%,2.8,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,m39Piafloss1210,tunis,mng,,,Websites
2509091EC39GBU,รอดำเนินการ,211049798236478,2025-09-08 23:56:39,,2025-09-08 23:42:47,The Ordinary Thailand Official Store,1414523656,Shopee Mall(Non-CB),24839594077,The Ordinary Glycolic Acid 7% Exfoliating Toner - 240mL | โทนเนอร์ผลัดเซลล์ผิว ผิวเรียบเนียน สีผิวแลดูสม่ำเสมอ,185653677087,Normal Product,,ผลิตภัณฑ์บำรุงและเสริมความงาม,ผลิตภัณฑ์บำรุงบริเวณใบหน้า,โทนเนอร์,770,1,คอมมิชชั่นจากร้านค้า,,615,,1.75%,10.7625,10.00%,0,10.7625,10.7625,0,10.7625,,0,0.00%,0,100.00%,10.7625,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,m39Piafloss1210,tunis,mng,,,Websites
2509091EB5PE83,รอดำเนินการ,211049767202073,2025-09-08 23:56:07,,2025-09-08 23:52:51,remitglory.th,127666299,Preferred(CB),27085417487,Remitglory อุปกรณ์การฝึกอบรม Carrier อุปกรณ์เสริม Hordles ฟุตบอลเก็บ Hurdle พกพาฟุตบอล Agility ชุดผ้าคอนเทนเนอร์ Wrapper TH,243333514799,Normal Product,,กีฬาและกิจกรรมกลางแจ้ง,อุปกรณ์เสริมสำหรับเล่นกีฬาและกิจกรรมกลางแจ้ง,อุปกรณ์ฝึกซ้อมกีฬา,19,6,คอมมิชชั่นจาก Shopee,,102,,1.75%,1.785,0.00%,0,1.785,1.785,0,1.785,,0,0.00%,0,100.00%,1.785,รอดำเนินการ,สถานะของสินค้านี้คือ อยู่ระหว่างดำเนินการ คอมมิชชั่นจะถูกคำนวณเพื่อจ่ายหลังสถานะเป็นสำเร็จแล้วเท่านั้น,คำสั่งซื้อจากร้านค้าต่างกัน,ที่มีอยู่,2599adboostco,paris,mng,m01jjshop0803,,Facebook
